ID Number,Round 1 Estimated Moon,arm length (cm),Round 1 First Moon Picked ,Round 1 Final Moon,arm length (cm),Time,Altitude,"Plus Sign (0 = N, Y = 1)",Lower Elevation Disparity(cm),Lower Elevation Disparity Arm Length (cm),Round 2 Estimated Moon,arm length (cm),Round 2 First Moon Picked ,Round 2 Final Moon,arm length (cm),Time,Altitude ,Higher Elevation Disparity (cm),Higher Elevation Disparity Arm Length (cm),Date
5030,13,53.50,,13,53.50,,8.00,,3.41,45.20,7,52.70,,7,39.50,,22.00,3.91,38.60,
5031,10,62.00,,10,62.00,,9.00,,5.05,38.50,9,61.00,,7,47.50,,24.00,5.29,40.50,
5032,8,57.50,,8,57.50,,12.00,,7.58,56.40,7,63.50,,5,47.00,,24.00,7.84,48.40,
5034,8,57.00,,8,57.00,,12.00,,6.61,41.10,5,54.00,,5,32.00,,23.00,6.66,37.90,
5033,9,65.00,,9,65.00,,13.00,,6.69,37.60,7,55.40,,3,28.00,,26.00,4.47,34.90,
5035,11,62.00,,11,62.00,,14.00,,3.64,25.10,10,52.90,,6,23.50,,26.00,4.16,34.40,
5036,13,57.70,,13,57.70,,14.00,,7.62,50.20,12,56.60,,7,50.50,,25.00,7.32,48.00,
5037,6,57.00,,6,57.00,,14.00,,6.57,34.80,6,56.00,,7,37.50,,27.00,6.87,34.40,
5038,11,60.50,,11,60.50,,16.00,,5.80,42.30,10,60.30,,9,40.50,,32.00,6.33,35.20,
5039,16,63.00,,16,63.00,,16.00,,2.15,25.50,15,62.80,,14,35.50,,27.00,3.68,35.60,
5040,13,54.50,,13,54.50,,17.00,,6.06,44.60,10,52.00,,9,29.60,,31.00,6.14,44.60,
,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
